Year,NX,Age,MortRate
1986,"16,329,375",Below 13 ,0
1986,"16,329,375",13 - 19 ,0
1986,"16,329,375",20 - 29 ,0.006
1986,"16,329,375",30 - 39,0
1986,"16,329,375",40 - 49 ,0
1986,"16,329,375",above 50,0
1986,"16,329,375",No Data,0
1987,"16,773,474",Below 13 ,0
1987,"16,773,474",13 - 19 ,0
1987,"16,773,474",20 - 29 ,0
1987,"16,773,474",30 - 39,0
1987,"16,773,474",40 - 49 ,0
1987,"16,773,474",above 50,0
1987,"16,773,474",No Data,0
1988,"17,219,061",Below 13 ,0
1988,"17,219,061",13 - 19 ,0
1988,"17,219,061",20 - 29 ,0
1988,"17,219,061",30 - 39,0.006
1988,"17,219,061",40 - 49 ,0.006
1988,"17,219,061",above 50,0
1988,"17,219,061",No Data,0
1989,"17,662,020",Below 13 ,0
1989,"17,662,020",13 - 19 ,0
1989,"17,662,020",20 - 29 ,0
1989,"17,662,020",30 - 39,0.006
1989,"17,662,020",40 - 49 ,0
1989,"17,662,020",above 50,0
1989,"17,662,020",No Data,0
1990,"18,102,362",Below 13 ,0
1990,"18,102,362",13 - 19 ,0
1990,"18,102,362",20 - 29 ,0.011
1990,"18,102,362",30 - 39,0.022
1990,"18,102,362",40 - 49 ,0.017
1990,"18,102,362",above 50,0.006
1990,"18,102,362",No Data,0
1991,"18,547,200",Below 13 ,0
1991,"18,547,200",13 - 19 ,0
1991,"18,547,200",20 - 29 ,0.022
1991,"18,547,200",30 - 39,0.043
1991,"18,547,200",40 - 49 ,0.027
1991,"18,547,200",above 50,0.011
1991,"18,547,200",No Data,0
1992,"19,067,479",Below 13 ,0
1992,"19,067,479",13 - 19 ,0
1992,"19,067,479",20 - 29 ,0.052
1992,"19,067,479",30 - 39,0.105
1992,"19,067,479",40 - 49 ,0.063
1992,"19,067,479",above 50,0.021
1992,"19,067,479",No Data,0
1993,"19,601,507",Below 13 ,0
1993,"19,601,507",13 - 19 ,0
1993,"19,601,507",20 - 29 ,0.061
1993,"19,601,507",30 - 39,0.122
1993,"19,601,507",40 - 49 ,0.071
1993,"19,601,507",above 50,0.026
1993,"19,601,507",No Data,0
1994,"20,141,726",Below 13 ,0.005
1994,"20,141,726",13 - 19 ,0.005
