Year,Nx,JobStatus,MortRate
1986," 16,329,375 ",Unemployed,0.000
1986," 16,329,375 ",Government servant,0.000
1986," 16,329,375 ",Student,0.000
1986," 16,329,375 ",Police/Army,0.000
1986," 16,329,375 ",Fisherman/Fishmonger,0.000
1986," 16,329,375 ",Factory Woker,0.000
1986," 16,329,375 ",Private Sector ,0.000
1986," 16,329,375 ",Prostitute,0.000
1986," 16,329,375 ",Housewife,0.000
1986," 16,329,375 ",Lorry Driver,0.000
1986," 16,329,375 ",Others,0.006
1986," 16,329,375 ",No Permenant Job,0.000
1987," 16,773,474 ",Unemployed,0.000
1987," 16,773,474 ",Government servant,0.000
1987," 16,773,474 ",Student,0.000
1987," 16,773,474 ",Police/Army,0.000
1987," 16,773,474 ",Fisherman/Fishmonger,0.000
1987," 16,773,474 ",Factory Woker,0.000
1987," 16,773,474 ",Private Sector ,0.000
1987," 16,773,474 ",Prostitute,0.000
1987," 16,773,474 ",Housewife,0.000
1987," 16,773,474 ",Lorry Driver,0.000
1987," 16,773,474 ",Others,0.000
1987," 16,773,474 ",No Permenant Job,0.000
1988," 17,219,061 ",Unemployed,0.000
1988," 17,219,061 ",Government servant,0.006
1988," 17,219,061 ",Student,0.000
1988," 17,219,061 ",Police/Army,0.000
1988," 17,219,061 ",Fisherman/Fishmonger,0.000
1988," 17,219,061 ",Factory Woker,0.000
1988," 17,219,061 ",Private Sector ,0.000
1988," 17,219,061 ",Prostitute,0.000
1988," 17,219,061 ",Housewife,0.000
1988," 17,219,061 ",Lorry Driver,0.000
1988," 17,219,061 ",Others,0.006
1988," 17,219,061 ",No Permenant Job,0.000
1989," 17,662,020 ",Unemployed,0.000
1989," 17,662,020 ",Government servant,0.000
1989," 17,662,020 ",Student,0.000
1989," 17,662,020 ",Police/Army,0.000
1989," 17,662,020 ",Fisherman/Fishmonger,0.000
1989," 17,662,020 ",Factory Woker,0.000
1989," 17,662,020 ",Private Sector ,0.000
1989," 17,662,020 ",Prostitute,0.000
1989," 17,662,020 ",Housewife,0.000
1989," 17,662,020 ",Lorry Driver,0.000
1989," 17,662,020 ",Others,0.000
1989," 17,662,020 ",No Permenant Job,0.006
1990," 18,102,362 ",Unemployed,0.022
1990," 18,102,362 ",Government servant,0.000
1990," 18,102,362 ",Student,0.000
1990," 18,102,362 ",Police/Army,0.000
1990," 18,102,362 ",Fisherman/Fishmonger,0.000
1990," 18,102,362 ",Factory Woker,0.000
1990," 18,102,362 ",Private Sector ,0.000
1990," 18,102,362 ",Prostitute,0.000
1990," 18,102,362 ",Housewife,0.000
1990," 18,102,362 ",Lorry Driver,0.000
1990," 18,102,362 ",Others,0.017
1990," 18,102,362 ",No Permenant Job,0.017
1991," 18,547,200 ",Unemployed,0.038
1991," 18,547,200 ",Government servant,0.000
1991," 18,547,200 ",Student,0.000
1991," 18,547,200 ",Police/Army,0.000
1991," 18,547,200 ",Fisherman/Fishmonger,0.000
1991," 18,547,200 ",Factory Woker,0.005
1991," 18,547,200 ",Private Sector ,0.005
1991," 18,547,200 ",Prostitute,0.000
1991," 18,547,200 ",Housewife,0.005
1991," 18,547,200 ",Lorry Driver,0.005
1991," 18,547,200 ",Others,0.027
1991," 18,547,200 ",No Permenant Job,0.016
1992," 19,067,479 ",Unemployed,0.094
1992," 19,067,479 ",Government servant,0.000
1992," 19,067,479 ",Student,0.000
1992," 19,067,479 ",Police/Army,0.000
1992," 19,067,479 ",Fisherman/Fishmonger,0.005
1992," 19,067,479 ",Factory Woker,0.010
1992," 19,067,479 ",Private Sector ,0.010
1992," 19,067,479 ",Prostitute,0.000
1992," 19,067,479 ",Housewife,0.010
1992," 19,067,479 ",Lorry Driver,0.005
1992," 19,067,479 ",Others,0.063
1992," 19,067,479 ",No Permenant Job,0.042
1993," 19,601,507 ",Unemployed,0.107
1993," 19,601,507 ",Government servant,0.000
1993," 19,601,507 ",Student,0.000
1993," 19,601,507 ",Police/Army,0.005
1993," 19,601,507 ",Fisherman/Fishmonger,0.005
1993," 19,601,507 ",Factory Woker,0.010
1993," 19,601,507 ",Private Sector ,0.010
1993," 19,601,507 ",Prostitute,0.000
1993," 19,601,507 ",Housewife,0.015
1993," 19,601,507 ",Lorry Driver,0.010
1993," 19,601,507 ",Others,0.071
1993," 19,601,507 ",No Permenant Job,0.046
1994," 20,141,726 ",Unemployed,0.154
1994," 20,141,726 ",Government servant,0.005
1994," 20,141,726 ",Student,0.000
1994," 20,141,726 ",Police/Army,0.005
